Product,Sales_volume(kg),Brand,Price(TL),Price(TL/Sales_volume),Quality_Score,Delivery_Time,Fav_number,Comment_Count,Store
çay,0.5,Berk,54.9,109.8,4.6,2.0,3362,145.27509293680296,BİM
çay,0.5,Berk,54.9,109.8,4.7,5.0,4157,145.27509293680296,BİM
çay,0.5,Berk,49.9,99.8,4.2,4.0,2924,145.27509293680296,BİM
çay,1.0,Berk,94.9,94.9,4.9,3.0,316,145.27509293680296,BİM
çay,1.0,Çaykur,191.35,191.35,5.0,2.0,885,347.0,Migros
çay,1.0,Çaykur,134.56,134.56,5.0,4.0,4684,145.27509293680296,PttAVM
çay,1.0,Lipton,169.33,169.33,3.0,2.0,2608,0.0,Amazon
çay,1.0,Çaykur,189.9,189.9,3.6,5.0,4749,145.27509293680296,Pazarama
çay,1.0,Lipton,144.9,144.9,3.6,2.0,589,145.27509293680296,Pazarama
çay,1.0,Doğuş,167.5,167.5,4.0,2.0,4503,145.27509293680296,Listensi
çay,1.0,Doğadan,73.5,73.5,4.0,2.0,1404,145.27509293680296,Exporgin
çay,1.0,Ofçay,124.9,124.9,5.0,1.0,4661,12.0,Carrefour
çay,1.0,Lipton,189.0,189.0,5.0,1.0,283,145.27509293680296,Migros
çay,1.0,Tirebolu,144.32,144.32,5.0,5.0,3673,145.27509293680296,Smallman
çay,1.0,Alice Suntat,999.0,999.0,2.5,5.0,557,100.0,n11
çay,1.0,Mevlana,675.0,675.0,5.0,4.0,1668,145.27509293680296,n11
çay,1.0,Herdem,99.0,99.0,2.2,5.0,2987,145.27509293680296,Hakmar
çay,1.0,Ofçay,599.9,599.9,3.6,1.0,1312,145.27509293680296,Pazarama
çay,1.0,Yeşil İnci,290.0,290.0,4.0,2.0,4956,145.0,n11
çay,1.0,Çaykur,182.16,182.16,3.0,2.0,4849,145.27509293680296,PttAVM
çay,1.0,Karali,169.9,169.9,2.5,1.0,2787,145.27509293680296,Hoppibebe
çay,1.0,Çaykur,162.5,162.5,5.0,5.0,2752,3.0,A101
çay,1.0,Beta Tea,196.43,196.43,1.4,4.0,230,145.27509293680296,PttAVM
çay,1.0,Çaykur,206.9,206.9,4.6,2.0,4325,25.0,Avansas
çay,1.0,Lipton,130.45,130.45,4.6,2.0,2795,52.0,Carrefour
çay,1.0,Doğuş,174.9,174.9,4.6,2.0,2761,55.0,Şok
çay,1.0,Altın Başak,162.25,162.25,4.6,2.0,1587,58.0,PttAVM
çay,1.0,Lipton,1412.96,78.5,4.6,1.0,2216,145.27509293680296,PttAVM
